record_id,platform,brand,brand_or_competitor,source_account,posted_at,text,sentiment_label,sentiment_confidence,sentiment_reason,concern_category_id,concern_category_label,category_confidence,category_reason,keywords,keyword_confidence,urgency_flag,urgency_confidence,urgency_reason,recommended_action,raw_record_hash,raw_file_path,raw_record_index
sample-001,x,telgani,telgani,telgani,2026-05-06T08:30:00+00:00,خدمة العملاء بطيئة جدا، أرسلت لهم أكثر من مرة وما وصلني رد واضح.,neutral,0.25,No configured sentiment keywords or rating signal matched.,poor_slow_customer_service,Poor or Slow Customer Service,0.95,"matched category keywords: العملاء, خدمة, رد","خدمة, العملاء, بطيئة, جدا،, أرسلت, لهم, أكثر, مرة, وما, وصلني, واضح",1.0,false,0.0,No urgency rules matched.,Monitor for repetition before taking action.,hash-001,data/raw/x/sample_run_x.json,0
sample-002,instagram,telgani,telgani,telgani,2026-05-05T15:10:00+00:00,السيارة وصلت متأخرة والحجز تغير بدون توضيح كافي.,neutral,0.25,No configured sentiment keywords or rating signal matched.,car_condition,Car Condition,0.55,matched category keywords: السيارة,"السيارة, وصلت, متأخرة, والحجز, تغير, بدون, توضيح, كافي",1.0,false,0.0,No urgency rules matched.,Monitor for repetition before taking action.,hash-002,data/raw/instagram/sample_run_instagram.json,0
sample-003,tiktok,telgani,telgani,telganiapp,2026-05-05T11:00:00+00:00,The booking was easy and the app is fast. I would recommend it.,positive,1.0,"positive keywords: easy, fast, recommend",delay_cancellation_booking_delivery,Delay or Cancellation of Bookings/Delivery,0.55,matched category keywords: booking,"booking, easy, app, fast, would, recommend",1.0,true,0.6,high engagement: 121,Escalate for immediate review and prepare a direct response.,hash-003,data/raw/tiktok/sample_run_tiktok.json,0
sample-004,app_store,telgani,telgani,1377706766,2026-05-04T19:45:00+00:00,I was charged an extra fee and the refund process was confusing.,negative,0.8,negative keywords: confusing; rating signal: 2,refund_insurance_fee_issues,Refund/Insurance/Fee Issues,0.95,"matched category keywords: extra, fee, refund","charged, extra, fee, refund, process, confusing",1.0,true,0.6,urgent keywords: refund,Escalate for immediate review and prepare a direct response.,hash-004,data/raw/app_store/sample_run_app_store.json,0
sample-005,x,telgani,telgani,telgani,2026-05-04T10:20:00+00:00,ممتاز وسهل، لكن أتمنى توضيح التأمين والرسوم قبل الدفع.,positive,0.65,positive keywords: ممتاز,uncategorized,uncategorized,0.0,No concern category keywords matched from config/concern_categories.yaml.,"ممتاز, وسهل،, لكن, أتمنى, توضيح, التأمين, والرسوم, قبل, الدفع",1.0,false,0.0,No urgency rules matched.,"Reuse this positive theme in content, ads, or community replies.",hash-005,data/raw/x/sample_run_x.json,1
sample-006,instagram,telgani,telgani,telgani,2026-05-03T17:30:00+00:00,The car condition was not good. It smelled bad and had visible damage.,neutral,0.65,positive keywords: good; negative keywords: bad,car_condition,Car Condition,0.95,"matched category keywords: car, condition, damage","car, condition, not, good, smelled, bad, had, visible, damage",1.0,true,0.6,high engagement: 70,Escalate for immediate review and prepare a direct response.,hash-006,data/raw/instagram/sample_run_instagram.json,1
sample-007,tiktok,telgani,telgani,telganiapp,2026-05-03T09:15:00+00:00,ليش السعر يتغير بعد ما أختار السيارة؟ هذا يقلل الثقة.,neutral,0.25,No configured sentiment keywords or rating signal matched.,poor_slow_customer_service,Poor or Slow Customer Service,0.55,matched category keywords: ما,"ليش, السعر, يتغير, بعد, أختار, السيارة؟, يقلل, الثقة",1.0,false,0.0,No urgency rules matched.,Monitor for repetition before taking action.,hash-007,data/raw/tiktok/sample_run_tiktok.json,1
sample-008,app_store,telgani,telgani,1377706766,2026-05-02T13:00:00+00:00,"Great selection of cars and the interface is useful, but support response can be faster.",positive,1.0,"positive keywords: great, useful; rating signal: 4",poor_slow_customer_service,Poor or Slow Customer Service,0.75,"matched category keywords: response, support","great, selection, cars, interface, useful, but, support, response, can, faster",1.0,false,0.0,No urgency rules matched.,"Reuse this positive theme in content, ads, or community replies.",hash-008,data/raw/app_store/sample_run_app_store.json,1
sample-009,x,telgani,telgani,telgani,2026-05-02T08:00:00+00:00,Urgent: I cannot reach anyone and my booking is today. Need response now.,neutral,0.25,No configured sentiment keywords or rating signal matched.,poor_slow_customer_service,Poor or Slow Customer Service,0.55,matched category keywords: response,"urgent, cannot, reach, anyone, booking, today, need, response, now",1.0,true,1.0,"urgent keywords: cannot, now, urgent; high engagement: 86",Escalate for immediate review and prepare a direct response.,hash-009,data/raw/x/sample_run_x.json,2
sample-010,instagram,telgani,telgani,telgani,2026-05-01T18:20:00+00:00,التطبيق مفيد، بس نحتاج شرح أوضح عن الاسترجاع إذا انلغى الحجز.,neutral,0.25,No configured sentiment keywords or rating signal matched.,delay_cancellation_booking_delivery,Delay or Cancellation of Bookings/Delivery,0.55,matched category keywords: الحجز,"التطبيق, مفيد،, نحتاج, شرح, أوضح, الاسترجاع, إذا, انلغى, الحجز",1.0,false,0.0,No urgency rules matched.,Monitor for repetition before taking action.,hash-010,data/raw/instagram/sample_run_instagram.json,2
