keyword,comments_count,platforms,brands,avg_sentiment_score,urgent_count,example_record_id,example_text
booking,3,"app_store, tiktok, x",telgani,0.0,2,sample-003,The booking was easy and the app is fast. I would recommend it.
app,2,"app_store, tiktok",telgani,0.0,1,sample-003,The booking was easy and the app is fast. I would recommend it.
but,2,"app_store, tiktok",telgani,1.0,0,sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
good,2,"instagram, tiktok",telgani,0.5,1,sample-006,The car condition was not good. It smelled bad and had visible damage.
response,2,"app_store, x",telgani,0.5,1,sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
توضيح,2,"instagram, x",telgani,0.5,0,sample-002,السيارة وصلت متأخرة والحجز تغير بدون توضيح كافي.
about,1,app_store,telgani,-1.0,0,sample-012,The app crashed after payment and I was worried about the booking confirmation.
after,1,app_store,telgani,-1.0,0,sample-012,The app crashed after payment and I was worried about the booking confirmation.
anyone,1,x,telgani,0.0,1,sample-009,Urgent: I cannot reach anyone and my booking is today. Need response now.
bad,1,instagram,telgani,0.0,1,sample-006,The car condition was not good. It smelled bad and had visible damage.
before,1,tiktok,telgani,1.0,0,sample-011,"Good prices, but please show delivery time before checkout."
can,1,app_store,telgani,1.0,0,sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
cannot,1,x,telgani,0.0,1,sample-009,Urgent: I cannot reach anyone and my booking is today. Need response now.
car,1,instagram,telgani,0.0,1,sample-006,The car condition was not good. It smelled bad and had visible damage.
cars,1,app_store,telgani,1.0,0,sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
charged,1,app_store,telgani,-1.0,1,sample-004,I was charged an extra fee and the refund process was confusing.
checkout,1,tiktok,telgani,1.0,0,sample-011,"Good prices, but please show delivery time before checkout."
condition,1,instagram,telgani,0.0,1,sample-006,The car condition was not good. It smelled bad and had visible damage.
confirmation,1,app_store,telgani,-1.0,0,sample-012,The app crashed after payment and I was worried about the booking confirmation.
confusing,1,app_store,telgani,-1.0,1,sample-004,I was charged an extra fee and the refund process was confusing.
crashed,1,app_store,telgani,-1.0,0,sample-012,The app crashed after payment and I was worried about the booking confirmation.
damage,1,instagram,telgani,0.0,1,sample-006,The car condition was not good. It smelled bad and had visible damage.
delivery,1,tiktok,telgani,1.0,0,sample-011,"Good prices, but please show delivery time before checkout."
easy,1,tiktok,telgani,1.0,1,sample-003,The booking was easy and the app is fast. I would recommend it.
extra,1,app_store,telgani,-1.0,1,sample-004,I was charged an extra fee and the refund process was confusing.
fast,1,tiktok,telgani,1.0,1,sample-003,The booking was easy and the app is fast. I would recommend it.
faster,1,app_store,telgani,1.0,0,sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
fee,1,app_store,telgani,-1.0,1,sample-004,I was charged an extra fee and the refund process was confusing.
great,1,app_store,telgani,1.0,0,sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
had,1,instagram,telgani,0.0,1,sample-006,The car condition was not good. It smelled bad and had visible damage.
interface,1,app_store,telgani,1.0,0,sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
need,1,x,telgani,0.0,1,sample-009,Urgent: I cannot reach anyone and my booking is today. Need response now.
