opportunity_id,type,platform,brand_or_competitor,concern_category_label,keyword,comments_count,confidence,reason,recommended_action,example_record_id,example_text
a07d6c7eb29717b93d9b1753ac9adced8e157e1569f9b8239ee771e49468d50b,marketing_opportunity,app_store,telgani,Poor or Slow Customer Service,but,2,0.825,Positive keyword repeated: but.,"Use this theme in proof points, ads, or social replies.",sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
993deb905e7f9fc7ac66eec2316c8a9eaf3d388f08d30f07af89d9076c1f68b8,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,app,1,1.0,Positive keyword repeated: app.,"Use this theme in proof points, ads, or social replies.",sample-003,The booking was easy and the app is fast. I would recommend it.
d7e05d4999471ee9038240b8694c48ed3338f3c8d33f1a2100dce592c710ea50,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,before,1,0.65,Positive keyword repeated: before.,"Use this theme in proof points, ads, or social replies.",sample-011,"Good prices, but please show delivery time before checkout."
6f9857771cc957e135a47956c0e4f0807782c7cff2c6d8dfd674fe4f7a563767,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,booking,1,1.0,Positive keyword repeated: booking.,"Use this theme in proof points, ads, or social replies.",sample-003,The booking was easy and the app is fast. I would recommend it.
a661795c20b991a3a74ce68699df9cdab20c55c73e25c9e5d407acdbb5184a10,marketing_opportunity,app_store,telgani,Poor or Slow Customer Service,can,1,1.0,Positive keyword repeated: can.,"Use this theme in proof points, ads, or social replies.",sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
bb40de1b27eb4bb363de7c13984f66263248681c68408f14b9e83d5ee2728a3f,marketing_opportunity,app_store,telgani,Poor or Slow Customer Service,cars,1,1.0,Positive keyword repeated: cars.,"Use this theme in proof points, ads, or social replies.",sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
0a122334c7ed47f4607bc9097dbb823e6497eebcc1ab6b01b69800242ad9b01f,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,checkout,1,0.65,Positive keyword repeated: checkout.,"Use this theme in proof points, ads, or social replies.",sample-011,"Good prices, but please show delivery time before checkout."
4023e219ee2a965f0efc667746bcd602db07300b9e7ef1a1115ef337752f3e02,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,delivery,1,0.65,Positive keyword repeated: delivery.,"Use this theme in proof points, ads, or social replies.",sample-011,"Good prices, but please show delivery time before checkout."
114079b579fbb9b0447d8ea1523618b046da928376eb20eaa49c0eee2b74aaa1,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,easy,1,1.0,Positive keyword repeated: easy.,"Use this theme in proof points, ads, or social replies.",sample-003,The booking was easy and the app is fast. I would recommend it.
ed03b4533ad41703a3cac727d28f3180582e37036dba812b6838b17084273e9d,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,fast,1,1.0,Positive keyword repeated: fast.,"Use this theme in proof points, ads, or social replies.",sample-003,The booking was easy and the app is fast. I would recommend it.
bf368f32851e38a28f3372a15aa65adad4609e87312c9bff034276d65fb685dd,marketing_opportunity,app_store,telgani,Poor or Slow Customer Service,faster,1,1.0,Positive keyword repeated: faster.,"Use this theme in proof points, ads, or social replies.",sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
cddc89d151c09fc7af36698fc2f3f3ed1337c36511dbe8711390e4048b552388,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,good,1,0.65,Positive keyword repeated: good.,"Use this theme in proof points, ads, or social replies.",sample-011,"Good prices, but please show delivery time before checkout."
b9d4ef1507231a084da4603fc6586880b00748f2ce224609463f08dd7f1844e0,marketing_opportunity,app_store,telgani,Poor or Slow Customer Service,great,1,1.0,Positive keyword repeated: great.,"Use this theme in proof points, ads, or social replies.",sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
8dcf5501a7434b7f649f2a1e3548bac3453be351a08bdd1b4b3c1eeaf9d604be,marketing_opportunity,app_store,telgani,Poor or Slow Customer Service,interface,1,1.0,Positive keyword repeated: interface.,"Use this theme in proof points, ads, or social replies.",sample-008,"Great selection of cars and the interface is useful, but support response can be faster."
b9c5b491a65c2dcfb46c7bcf1bb9438c0a55a7abf55a8bf4700fd8954ebbb7c7,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,please,1,0.65,Positive keyword repeated: please.,"Use this theme in proof points, ads, or social replies.",sample-011,"Good prices, but please show delivery time before checkout."
02cb1259fb2c5dcef0582065c4eb96dc71f735602db9e6a5adacb48a38e983e3,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,prices,1,0.65,Positive keyword repeated: prices.,"Use this theme in proof points, ads, or social replies.",sample-011,"Good prices, but please show delivery time before checkout."
6c46cb2b151fae377e9f417d351c607de2ebfdaee4a1c1b1f1a85d440ab5f95d,marketing_opportunity,tiktok,telgani,Delay or Cancellation of Bookings/Delivery,recommend,1,1.0,Positive keyword repeated: recommend.,"Use this theme in proof points, ads, or social replies.",sample-003,The booking was easy and the app is fast. I would recommend it.
